"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","Should fail with incorrect credentials via POST /api/auth/login","webkit","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","914","Should successfully login with valid credentials via POST /api/admin/login","chromium","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","2284","TC-01:Successful contact form submission","chromium","2026-08-19","passed","2026-08-19","Contact Form","contact-form.spec.ts","",""
"","673","Should successfully login with valid credentials via POST /api/admin/login","webkit","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","2701","Successful room booking","firefox","2026-08-19","passed","2026-08-19","Room booking","room-booking.spec.ts","",""
"","4406","Successful room booking","webkit","2026-08-19","passed","2026-08-19","Room booking","room-booking.spec.ts","",""
"","3959","TC-01:Successful contact form submission","webkit","2026-08-19","passed","2026-08-19","Contact Form","contact-form.spec.ts","",""
"","4688","Successful room booking","chromium","2026-08-19","passed","2026-08-19","Room booking","room-booking.spec.ts","",""
"","886","TC-05: Should successfully submit contact message via POST /message/","chromium","2026-08-19","passed","2026-08-19","API Tests - Contact Messages","api-messages.spec.ts","",""
"","2997","TC-01:Successful contact form submission","firefox","2026-08-19","passed","2026-08-19","Contact Form","contact-form.spec.ts","",""
"","496","Should fail with incorrect credentials via POST /api/auth/login","chromium","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","1023","TC-05: Should successfully submit contact message via POST /message/","firefox","2026-08-19","passed","2026-08-19","API Tests - Contact Messages","api-messages.spec.ts","",""
"","838","TC-05: Should successfully submit contact message via POST /message/","webkit","2026-08-19","passed","2026-08-19","API Tests - Contact Messages","api-messages.spec.ts","",""
"","677","Should successfully login with valid credentials via POST /api/admin/login","firefox","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","489","Should fail with incorrect credentials via POST /api/auth/login","firefox","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
