"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","271","Should fail with incorrect credentials via POST /api/auth/login","webkit","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","753","TC-05: Should successfully submit contact message via POST /message/","chromium","2026-08-21","passed","2026-08-21","API Tests - Contact Messages","api-messages.spec.ts","",""
"","2895","Successful room booking","firefox","2026-08-21","passed","2026-08-21","Room booking","room-booking.spec.ts","",""
"","8204","Successful room booking","webkit","2026-08-21","passed","2026-08-21","Room booking","room-booking.spec.ts","",""
"","222","Should reject request with empty payload","chromium","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","740","TC-05: Should successfully submit contact message via POST /message/","webkit","2026-08-21","passed","2026-08-21","API Tests - Contact Messages","api-messages.spec.ts","",""
"","664","Should successfully login with valid credentials via POST /api/admin/login","webkit","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","402","Should fail with incorrect credentials via POST /api/auth/login","chromium","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","272","Should reject request with empty payload","webkit","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","281","Should fail with incorrect credentials via POST /api/auth/login","firefox","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","5199","Successful room booking","chromium","2026-08-21","passed","2026-08-21","Room booking","room-booking.spec.ts","",""
"","5069","Should successfully login with valid credentials via POST /api/admin/login","chromium","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","803","Should successfully login with valid credentials via POST /api/admin/login","firefox","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","899","TC-05: Should successfully submit contact message via POST /message/","firefox","2026-08-21","passed","2026-08-21","API Tests - Contact Messages","api-messages.spec.ts","",""
"","4964","TC-01:Successful contact form submission","webkit","2026-08-21","passed","2026-08-21","Contact Form","contact-form.spec.ts","",""
"","2417","TC-01:Successful contact form submission","firefox","2026-08-21","passed","2026-08-21","Contact Form","contact-form.spec.ts","",""
"","395","Should reject request with empty payload","firefox","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","2201","TC-01:Successful contact form submission","chromium","2026-08-21","passed","2026-08-21","Contact Form","contact-form.spec.ts","",""
