"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","845","Should successfully login with valid credentials via POST /api/admin/login","chromium","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","20889","TC-01:Successful contact form submission","webkit","2026-08-19","passed","2026-08-19","Contact Form","contact-form.spec.ts","",""
"","2789","TC-01:Successful contact form submission","firefox","2026-08-19","passed","2026-08-19","Contact Form","contact-form.spec.ts","",""
"","2885","TC-01:Successful contact form submission","chromium","2026-08-19","passed","2026-08-19","Contact Form","contact-form.spec.ts","",""
"","579","Should fail with incorrect credentials via POST /api/auth/login","chromium","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","875","TC-05: Should successfully submit contact message via POST /message/","webkit","2026-08-19","passed","2026-08-19","API Tests - Contact Messages","api-messages.spec.ts","",""
"","421","Should fail with incorrect credentials via POST /api/auth/login","webkit","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","774","Should successfully login with valid credentials via POST /api/admin/login","firefox","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","264","Should fail with incorrect credentials via POST /api/auth/login","firefox","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
"","947","TC-05: Should successfully submit contact message via POST /message/","chromium","2026-08-19","passed","2026-08-19","API Tests - Contact Messages","api-messages.spec.ts","",""
"","2924","Successful room booking","firefox","2026-08-19","passed","2026-08-19","Room booking","room-booking.spec.ts","",""
"","1046","TC-05: Should successfully submit contact message via POST /message/","firefox","2026-08-19","passed","2026-08-19","API Tests - Contact Messages","api-messages.spec.ts","",""
"","7962","Successful room booking","webkit","2026-08-19","passed","2026-08-19","Room booking","room-booking.spec.ts","",""
"","4652","Successful room booking","chromium","2026-08-19","passed","2026-08-19","Room booking","room-booking.spec.ts","",""
"","638","Should successfully login with valid credentials via POST /api/admin/login","webkit","2026-08-19","passed","2026-08-19","API Tests - Admin","api-auth.spec.ts","",""
