"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","REQ-AUTH-04 reject request when username field is omitted","firefox","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","829","Should successfully login with valid credentials via POST /api/admin/login","firefox","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","978","TC-05: Should successfully submit contact message via POST /message/","firefox","2026-08-21","passed","2026-08-21","API Tests - Contact Messages","api-contact.messages.spec.ts","",""
"","2916","Successful room booking","firefox","2026-08-21","passed","2026-08-21","Room booking","room-booking.spec.ts","",""
"","301","REQ-AUTH-02 reject login when password does not match username","firefox","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","576","REQ-AUTH-04 reject request when username field is omitted","chromium","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","605","REQ-AUTH-03 reject login when username does not exist in the database","chromium","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","961","TC-05: Should successfully submit contact message via POST /message/","webkit","2026-08-21","passed","2026-08-21","API Tests - Contact Messages","api-contact.messages.spec.ts","",""
"","1050","Should successfully login with valid credentials via POST /api/admin/login","chromium","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","451","REQ-AUTH-02 reject login when password does not match username","chromium","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","483","REQ-AUTH-02 reject login when password does not match username","webkit","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","2549","TC-01:Successful contact form submission","chromium","2026-08-21","passed","2026-08-21","Contact Form","contact-form.spec.ts","",""
"","615","REQ-AUTH-01 Should fail with incorrect credentials via POST /api/auth/login","chromium","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","429","REQ-AUTH-04 reject request when username field is omitted","webkit","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","298","REQ-AUTH-01 Should fail with incorrect credentials via POST /api/auth/login","firefox","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","262","REQ-AUTH-05 Should reject request with empty payload","webkit","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","849","Should successfully login with valid credentials via POST /api/admin/login","webkit","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","257","REQ-AUTH-05 Should reject request with empty payload","firefox","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","456","REQ-AUTH-03 reject login when username does not exist in the database","firefox","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","377","REQ-AUTH-01 Should fail with incorrect credentials via POST /api/auth/login","webkit","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","831","TC-05: Should successfully submit contact message via POST /message/","chromium","2026-08-21","passed","2026-08-21","API Tests - Contact Messages","api-contact.messages.spec.ts","",""
"","12335","TC-01:Successful contact form submission","webkit","2026-08-21","passed","2026-08-21","Contact Form","contact-form.spec.ts","",""
"","253","REQ-AUTH-05 Should reject request with empty payload","chromium","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","5170","Successful room booking","chromium","2026-08-21","passed","2026-08-21","Room booking","room-booking.spec.ts","",""
"","290","REQ-AUTH-03 reject login when username does not exist in the database","webkit","2026-08-21","passed","2026-08-21","API Tests - Admin","api-auth.spec.ts","",""
"","6434","Successful room booking","webkit","2026-08-21","passed","2026-08-21","Room booking","room-booking.spec.ts","",""
"","2566","TC-01:Successful contact form submission","firefox","2026-08-21","passed","2026-08-21","Contact Form","contact-form.spec.ts","",""
